"","home_rank","home_total_points","home_previous_points","home_rank_change","home_cur_year_avg","home_cur_year_avg_weighted","home_last_year_avg","home_last_year_avg_weighted","home_two_year_ago_avg","home_two_year_ago_weighted","home_three_year_ago_avg","home_three_year_ago_weighted","home_elo_rating","home_elo_rank_change","home_elo_rating_change","away_rank","away_total_points","away_previous_points","away_rank_change","away_cur_year_avg","away_cur_year_avg_weighted","away_last_year_avg","away_last_year_avg_weighted","away_two_year_ago_avg","away_two_year_ago_weighted","away_three_year_ago_avg","away_three_year_ago_weighted","away_elo_rating","away_elo_rank_change","away_elo_rating_change","outcome","home_teamArgentina","home_teamAustralia","home_teamBelgium","home_teamBrazil","home_teamColombia","home_teamCosta.Rica","home_teamCroatia","home_teamDenmark","home_teamEgypt","home_teamEngland","home_teamFrance","home_teamGermany","home_teamIceland","home_teamIran","home_teamJapan","home_teamMexico","home_teamMorocco","home_teamNigeria","home_teamPanama","home_teamPeru","home_teamPoland","home_teamPortugal","home_teamRussia","home_teamSaudi.Arabia","home_teamSenegal","home_teamSerbia","home_teamSouth.Korea","home_teamSpain","home_teamSweden","home_teamSwitzerland","home_teamTunisia","home_teamUruguay","away_teamArgentina","away_teamAustralia","away_teamBelgium","away_teamBrazil","away_teamColombia","away_teamCosta.Rica","away_teamCroatia","away_teamDenmark","away_teamEgypt","away_teamEngland","away_teamFrance","away_teamGermany","away_teamIceland","away_teamIran","away_teamJapan","away_teamMexico","away_teamMorocco","away_teamNigeria","away_teamPanama","away_teamPeru","away_teamPoland","away_teamPortugal","away_teamRussia","away_teamSaudi.Arabia","away_teamSenegal","away_teamSerbia","away_teamSouth.Korea","away_teamSpain","away_teamSweden","away_teamSwitzerland","away_teamTunisia","away_teamUruguay","tournamentFIFA.World.Cup","tournamentFIFA.World.Cup.qualification","neutralFALSE","neutralTRUE"
"1",73,0,24,-2,0,0,0,0,0,0,0,0,1300,0,0,8,0,55,1,0,0,0,0,0,0,0,0,1300,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2",21,0,48,0,0,0,0,0,0,0,0,0,1300,0,0,8,0,55,1,0,0,0,0,0,0,0,0,1300,0,0,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"3",49,0,35,0,0,0,0,0,0,0,0,0,1300,0,0,8,0,55,1,0,0,0,0,0,0,0,0,1300,0,0,"0.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"4",54,0,40,-1,0,0,0,0,0,0,0,0,1300,0,0,22,0,53,-3,0,0,0,0,0,0,0,0,1300,0,0,"0.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"5",40,0,48,3,0,0,0,0,0,0,0,0,1300,0,0,17,0,57,2,0,0,0,0,0,0,0,0,1300,0,0,"0.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"6",10,0,59,-1,0,0,0,0,0,0,0,0,1300,0,0,17,0,57,2,0,0,0,0,0,0,0,0,1300,0,0,"0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"7",15,0,674,0,0,0,0,0,0,0,0,0,1300,0,0,3,0,762,0,0,0,0,0,0,0,0,0,1300,0,0,"0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"8",1,0,818,0,0,0,0,0,0,0,0,0,1300,0,0,3,0,762,0,0,0,0,0,0,0,0,0,1300,0,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"9",45,0,563,0,0,0,0,0,0,0,0,0,1300,0,0,3,0,762,0,0,0,0,0,0,0,0,0,1300,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"10",22,0,656,2,0,0,0,0,0,0,0,0,1300,0,0,2,0,798,0,0,0,0,0,0,0,0,0,1300,0,0,"0.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
